Timestamp,Fix non-functional bugs,Fix hard to reproduce/locate bugs,Fix blocking bugs,Fix pervasive bugs,Fix key feature bugs,Correcting controversial changes,API Usability Improvement,Major structural change,Fix configuration bugs,Important test case addition,New key feature,Domino Changes,Additional Categories of Influential Changes,Category change,How many years of software development experience do you have?,You are a: ,Have you ever been involved in Code Review activities?,Would you like to be informed of the final outcome of this survey?,Do you agree to be contacted for similar research/education survey?,Country (Optional),, [Row 1]
8/11/2015 14:14:06,1,3,1,3,2,1,1,1,3,1,1,3,,,10,Software developer (freelance or employee),Yes,Yes,No,United Kingdom,,
8/11/2015 14:15:53,3,3,1,1,1,1,1,1,2,2,2,2,,,2,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,Yes,,,
8/11/2015 14:17:32,4,3,5,5,5,3,2,2,5,4,3,2,,,16,journalist,Yes,Yes,Yes,France,,
8/11/2015 14:18:41,5,2,2,2,3,4,3,1,4,4,2,1,,,7,Software developer (freelance or employee),Yes,No,No,Canada,,
8/11/2015 14:20:43,3,1,2,2,2,3,1,3,1,2,3,2,,,3,Software developer (freelance or employee),No,No,No,Argentina,,
8/11/2015 14:24:12,3,3,1,1,4,5,4,3,1,5,5,1,"In my opinion, influential change is the change that forces us to rewrite big chunks of code not directly connected with the change reason.",,4,Software developer (freelance or employee),Yes,Yes,Yes,Russia,,
8/11/2015 14:25:44,2,2,2,2,3,2,2,1,3,3,1,1,,,1,Software developer (freelance or employee),Yes,Yes,Yes,France,,
8/11/2015 14:25:47,4,2,1,1,2,3,3,2,4,4,1,2,,,8,Software developer (freelance or employee),Yes,Yes,Yes,China,,
8/11/2015 14:29:28,2,2,4,3,4,1,3,2,2,2,4,4,,,20,Software developer (freelance or employee),Yes,Yes,Yes,Netherlands,,
8/11/2015 14:29:57,3,3,2,3,3,2,3,2,4,3,4,2,,,5,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,No,Peru,,
8/11/2015 14:30:27,1,3,2,2,3,3,2,4,3,2,1,2,,,17,Software developer (freelance or employee),Yes,Yes,No,,,
8/11/2015 14:31:52,2,4,1,3,1,3,3,3,2,3,1,1,,,9,Software developer (freelance or employee),Yes,Yes,Yes,France,,
8/11/2015 14:35:43,4,4,3,3,3,3,4,2,4,4,3,1,,,35,Software developer (freelance or employee),Yes,No,Yes,United States,,
8/11/2015 14:36:16,2,2,3,2,2,2,3,2,2,2,2,1,,,3,Software developer (freelance or employee),Yes,Yes,Yes,Poland,,
8/11/2015 14:45:54,3,2,2,2,2,3,2,2,3,3,1,1,"Refactoring for improved readability and code reuse. 

We often ""hack"" things to get stuff done. Before approaching a next feature, we need to clear up things to avoid future confusion. Thus we refactor things, preparing the field for future work.",,15,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/11/2015 14:47:48,4,5,2,2,1,2,3,1,4,4,2,3,,,7,Software developer (freelance or employee),Yes,Yes,No,United States,,
8/11/2015 14:48:12,3,2,3,2,2,3,4,2,4,2,3,1,,,10,Software developer (freelance or employee),Yes,No,No,Norway,,
8/11/2015 14:48:55,3,2,4,2,2,3,2,3,2,4,2,4,,,5,Student (undergraduates),Yes,No,No,France,,
8/11/2015 15:01:01,2,3,2,2,1,2,3,4,4,4,1,3,,,25,Software developer (freelance or employee),Yes,Yes,No,Denmark,,
8/11/2015 15:11:32,3,2,4,4,3,3,3,2,4,3,3,2,"User facing bugs, generally due to platform fragmentation (devices, device versions and/or OS versions)",,6,Software developer (freelance or employee),Yes,Yes,Yes,Chile,,
8/11/2015 15:19:56,1,1,2,3,1,5,2,5,2,4,2,1,,,6,Student (undergraduates),Yes,Yes,No,Lithuania,,
8/11/2015 15:33:54,4,3,3,4,3,3,4,4,3,4,3,4,"UI/UX: look and feel, usability
Dependency management systems
",,6,Software developer (freelance or employee),Yes,Yes,Yes,Czech Republic,,
8/11/2015 15:35:31,4,4,3,3,2,3,2,1,3,2,2,1,,,4,Student (undergraduates),Yes,No,No,Puerto Rico,,
8/11/2015 15:47:49,5,1,2,2,2,4,2,2,4,1,4,2,,,2,Student (undergraduates),Yes,Yes,Yes,Russia,,
8/11/2015 15:50:28,1,2,3,2,2,1,3,1,2,4,3,2,,,4,Software developer (freelance or employee),Yes,Yes,Yes,Bulgaria,,
8/11/2015 15:55:17,1,3,2,2,1,3,3,1,3,2,2,1,,,10,Software developer (freelance or employee),Yes,Yes,No,Brazil,,
8/11/2015 16:01:05,3,4,3,2,2,4,2,3,3,4,2,1,,,10,"Researcher (graduates, Postdocs, etc.)",Yes,No,No,Norway,,
8/11/2015 16:03:54,4,2,1,1,2,3,3,2,1,4,2,1,,,10,Software developer (freelance or employee),Yes,Yes,No,Italy,,
8/11/2015 16:11:45,2,2,2,3,2,1,1,2,3,2,2,2,,,20,Software developer (freelance or employee),Yes,Yes,Yes,Taiwan,,
8/11/2015 16:11:56,4,2,1,1,3,4,3,2,2,2,2,1,,,5,Software developer (freelance or employee),Yes,Yes,No,,,
8/11/2015 16:20:26,3,2,3,1,1,1,5,5,2,3,2,1,"Breaking changes to system requirements e.g. JDK versions, RAM minimum etc",,4,Software developer (freelance or employee),No,Yes,Yes,United Kingdom,,
8/11/2015 16:22:50,2,3,3,2,3,4,5,1,5,5,3,1,,,4,Software developer (freelance or employee),Yes,Yes,Yes,Taiwan,,
8/11/2015 16:23:58,2,3,2,1,2,3,2,2,3,3,1,1,"Promotion of new API methods, demotion (deprecation) of old (but still functional) methods.
Documentation additions/revisions or newly documented workarounds",,19,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/11/2015 16:24:25,3,3,3,3,3,3,3,3,3,3,3,3,,,1,Student (undergraduates),Yes,No,No,Poland,,
8/11/2015 16:25:04,2,4,1,1,1,3,1,1,1,1,2,2,,,5,Software developer (freelance or employee),Yes,No,No,Germany,,
8/11/2015 16:27:07,3,3,3,3,1,2,1,2,2,1,2,2,,,2,Software developer (freelance or employee),No,Yes,Yes,Hungary,,
8/11/2015 16:29:05,2,2,4,3,2,3,4,4,2,3,3,3,,,3,Hobbyist,No,No,No,United States,,
8/11/2015 16:51:53,1,1,1,1,1,1,1,1,1,1,1,1,,,15,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,Yes,"Korea, South",,
8/11/2015 17:10:55,4,4,1,1,2,3,1,4,3,3,2,2,,,30,Software developer (freelance or employee),Yes,No,No,Denmark,,
8/11/2015 17:20:11,3,5,1,1,1,1,3,1,2,3,2,2,,,4,Software developer (freelance or employee),Yes,Yes,Yes,Poland,,
8/11/2015 17:23:56,3,3,3,3,3,3,3,3,3,3,3,3,,,9,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,No,United States,,
8/11/2015 17:48:22,3,1,1,2,3,3,3,2,3,4,3,1,,,2,Student (undergraduates),Yes,Yes,Yes,France,,
8/11/2015 18:05:59,2,1,1,1,1,1,4,3,3,2,2,1,,,12,Software developer (freelance or employee),Yes,Yes,Yes,Colombia,,
8/11/2015 18:09:28,2,3,3,1,2,2,3,2,3,4,1,1,,,35,Software developer (freelance or employee),Yes,No,Yes,United States,,
8/11/2015 18:21:03,3,3,2,1,2,3,3,1,2,2,2,1,,,7,Software developer (freelance or employee),Yes,No,Yes,France,,
8/11/2015 18:29:52,2,1,1,1,1,2,3,3,1,4,4,4,"The influential stuff happens not in code changes, but in design discussions, for example on the issue tracker.",,6,Student (undergraduates),Yes,Yes,No,Canada,,
8/11/2015 18:35:44,2,1,2,1,1,5,1,1,1,1,3,1,,,3,Student (undergraduates),No,Yes,No,Russia,,
8/11/2015 18:35:52,4,5,2,1,1,3,3,3,4,4,1,2,,,4,Software developer (freelance or employee),Yes,Yes,Yes,Austria,,
8/11/2015 18:44:34,4,4,2,1,1,2,3,3,4,4,1,1,,,40,Software developer (freelance or employee),No,No,Yes,United States,,
8/11/2015 18:54:55,4,4,1,1,1,3,1,1,3,5,2,3,,"When a project develops further sometimes the developers get a great idea which influences the further development and outcome of the project, the common goal or mindset of the group or individual is to me an important part that gives motivation when it is written down on paper and is clear, this seems a bit to much overlooked at the moment and should be taken into consideration especially for controversial changes and/ or small developers",2,Student (undergraduates),Yes,No,No,Belgium,,
8/11/2015 19:26:32,4,4,3,3,3,4,2,1,3,3,2,1,,,11,Software developer (freelance or employee),Yes,Yes,Yes,Belarus,,
8/11/2015 20:04:34,3,3,2,2,2,3,2,2,3,4,3,2,,,5,Software developer (freelance or employee),Yes,Yes,Yes,United Kingdom,,
8/11/2015 20:18:16,4,5,2,2,3,3,4,3,5,3,4,2,"API compatiblity breaks.
Licensing policy changes.",,36,Software developer (freelance or employee),Yes,Yes,Yes,France,,
8/11/2015 20:31:38,3,2,3,2,3,4,3,3,4,4,2,1,,,12,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/11/2015 21:05:03,3,2,1,1,1,2,2,2,5,4,1,1,,,12,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/11/2015 21:14:07,2,2,1,1,1,3,2,1,1,2,2,1,,,20,Software developer (freelance or employee),Yes,Yes,Yes,Canada,,
8/11/2015 21:38:12,4,3,2,1,1,2,2,2,3,2,2,3,,,13,Software developer (freelance or employee),Yes,Yes,No,Poland,,
8/11/2015 21:52:40,3,4,1,1,1,2,2,3,2,2,2,1,,,18,Software developer (freelance or employee),Yes,No,No,United States,,
8/11/2015 22:15:02,4,4,4,2,2,4,3,3,4,5,3,2,Documentation changes,"I suggest that you use ""Influential Software Changes"" for the name of this study. It took me a while to figure out that ""Program"" referred to computer programming when initially reading the email.",5,"Researcher (graduates, Postdocs, etc.)",Yes,No,No,United States,,
8/11/2015 22:19:53,3,3,2,3,2,3,2,1,3,2,2,2,,,7,Software developer (freelance or employee),Yes,No,No,Germany,,
8/12/2015 0:20:23,5,4,3,3,4,3,3,2,4,4,3,1,,,7,Student and Employed Developer,No,Yes,Yes,United States,,
8/12/2015 0:57:52,3,4,1,1,1,1,1,2,1,1,1,3,,,5,Software developer (freelance or employee),Yes,Yes,Yes,Dominican Republic,,
8/12/2015 1:55:54,2,2,2,1,1,2,2,3,4,3,2,1,- Adding or improving documentation,"The example for the ""Major structural change"" category is bad: the commit merely changes line endings. Although a naïve diff shows the whole file as changed, in reality nothing changed in the file at all. (That said, I believe it is important that the line endings in all files of a project be consistent.)",12,Software developer (freelance or employee),Yes,Yes,Yes,Canada,,
8/12/2015 2:01:44,4,2,1,1,3,4,2,3,3,4,3,1,,,7,"Researcher (graduates, Postdocs, etc.)",Yes,No,Yes,New Zealand,,
8/12/2015 3:57:23,3,2,2,2,2,2,3,1,3,2,2,2,Documentation updates or corrections,Missing a category for Documentation,11,Software developer (freelance or employee),Yes,No,No,United States,,
8/12/2015 4:41:53,4,3,2,2,2,3,2,3,4,2,2,1,Breaking ABI (Application Binary Interface) compatibility,,5,Software developer (freelance or employee),Yes,Yes,Yes,Japan,,
8/12/2015 5:17:45,1,4,1,1,2,3,2,3,2,1,2,4,Increase test coverage through additions of automated tests.,,8,Software developer (freelance or employee),Yes,Yes,No,Canada,,
8/12/2015 7:20:41,2,3,1,2,3,1,2,2,3,3,1,1,,,6,Software developer (freelance or employee),No,No,Yes,Canada,,
8/12/2015 10:28:44,2,3,1,1,2,3,2,1,5,4,3,2,,,10,Software developer (freelance or employee),Yes,No,No,Greece,,
8/12/2015 10:36:00,4,4,1,2,1,3,3,4,2,2,3,1,,,5,Software developer (freelance or employee),Yes,Yes,No,Turkey,,
8/12/2015 10:38:43,2,3,2,1,1,2,2,1,1,4,3,1,,,2,IT Consultant,No,No,No,Hungary,,
8/12/2015 11:42:03,4,3,2,2,2,4,1,4,3,1,2,2,,,5,"Researcher (graduates, Postdocs, etc.)",Yes,Yes,Yes,Italy,,
8/12/2015 14:07:37,3,5,2,1,1,3,2,1,3,3,2,1,,,5,Software developer (freelance or employee),Yes,Yes,Yes,Brazil,,
8/12/2015 14:48:08,3,4,4,4,4,4,3,4,2,3,3,3,,,2,Software developer (freelance or employee),Yes,Yes,Yes,Paraguay,,
8/12/2015 18:07:28,5,1,1,1,1,5,2,1,1,1,1,1,"more focued on smaller projects, see below","These are all in reference to large, ""mega-project"" style projects. Most developers work in smaller teams, on much smaller projects and don't get so involved in controversies. Even most open source projects are still handled by a very small number of people and what we're seeing now is that sometimes people implement features which become path dependent and then they defend them only because it would wreck so many dependencies of the project, despite their not being well thought out. The good thing is you can just fork a project and re-write it to your specs.",10,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/13/2015 1:38:16,3,4,1,1,1,5,4,2,3,5,4,2,,,16,Software developer (freelance or employee),Yes,Yes,Yes,United States,,
8/15/2015 17:31:19,3,2,2,2,1,1,1,3,2,1,1,1,,,4,Software developer (freelance or employee),Yes,Yes,Yes,Sweden,,
8/18/2015 15:39:15,3,1,3,4,2,5,1,1,2,1,2,1,,,8,Software developer (freelance or employee),Yes,Yes,Yes,France,,
8/18/2015 16:02:03,4,4,3,2,2,3,3,3,3,3,2,3,"Decide to rewrite software from scratch, using another approach or language or framework.",,15,Software developer (freelance or employee),Yes,Yes,No,Denmark,,
8/18/2015 16:11:12,3,3,1,2,1,1,1,1,1,2,1,2,,,10,Web Developer,No,Yes,Yes,United States,,
8/18/2015 16:46:21,3,1,1,1,1,3,2,2,3,2,2,1,,,3,Software developer (freelance or employee),Yes,Yes,Yes,Romania,,
8/18/2015 16:54:09,3,2,2,1,2,2,1,1,3,2,3,1,,,24,Software developer (freelance or employee),Yes,Yes,No,United States,,
8/18/2015 17:22:42,5,4,1,1,1,1,1,4,1,1,1,1,,,2,Software developer (freelance or employee),Yes,Yes,No,Poland,,
8/18/2015 17:53:55,5,5,5,5,5,5,5,5,5,5,5,5,You have been reported for steeling mail addresses. I am a normal user and your nonsense is regarded by MANY as very irritating!!,You have been reported for steeling mail addresses. I am a normal user and your nonsense is regarded by MANY as very irritating!!,0,user,No,No,No,,,
8/18/2015 18:29:40,3,3,3,3,3,3,2,4,3,2,3,3,,,10,Software developer (freelance or employee),No,No,No,France,,
8/18/2015 20:30:08,2,1,1,1,1,2,2,3,1,3,2,3,,,23,Software developer (freelance or employee),Yes,No,No,Germany,,
8/18/2015 22:51:39,4,3,1,1,2,3,2,2,4,3,1,1,,,20,Software developer (freelance or employee),Yes,Yes,Yes,Italy,,
8/19/2015 4:37:50,3,2,2,2,2,2,2,3,2,1,2,3,,,5,Software developer (freelance or employee),Yes,No,No,Thailand,,
8/19/2015 10:44:33,4,3,2,2,2,4,3,3,3,2,1,3,,,3,Software developer (freelance or employee),Yes,Yes,Yes,United Kingdom,,